CountryCode;ProviderName;ProductName;LoanType;Period;Rate;Coverage;Check Date;ValidSinceDate;NHG
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;15 jaar;2.35%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;15 jaar;2.75%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;15 jaar;3.05%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;20 jaar;2.55%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;20 jaar;2.95%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;20 jaar;3.25%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;25 jaar;3.05%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;25 jaar;3.45%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;25 jaar;3.75%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;30 jaar;3.35%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;30 jaar;3.75%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;30 jaar;4.05%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;1 jaar;1.45%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;1 jaar;1.85%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;1 jaar;2.15%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;2 jaar;1.55%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;2 jaar;1.95%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;2 jaar;2.25%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;3 jaar;1.75%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;3 jaar;2.15%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;3 jaar;2.45%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;4 jaar;1.75%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;4 jaar;2.15%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;4 jaar;2.45%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;5 jaar;1.85%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;5 jaar;2.25%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;5 jaar;2.55%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;6 jaar;1.85%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;6 jaar;2.25%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;6 jaar;2.55%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;7 jaar;1.85%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;7 jaar;2.25%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;7 jaar;2.55%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;8 jaar;1.95%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;8 jaar;2.35%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;8 jaar;2.65%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankPlusvoorwaarden;Annuiteitenhypotheek;9 jaar;1.95%;0%-67.5%;2017-10-14;2017-09-18;N;
